title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Stylish apt in Boystown/WrigleyField area - WiFi,rental unit in Uptown,4.52,21 ,2,1,1,1,$88,0
Cozy Spacious Condo Sleeps 6,rental unit in Garfield Park,4.90,106 ,6,2,2,1,$96,2
"Modern, 2 BD apartment in Hot Logan Square!",rental unit in Logan Square,4.84,58 ,4,2,2,2,$150,86
BERNARD CHATEAU - LOGAN SQUARE,rental unit in Logan Square,4.77,105 ,6,3,3,1,$150,1
"Pilsen Modernist, Creative, Lightfilled Loft",loft in Pilsen,4.91,137 ,4,2,2,1,$150,0
Modern 1BR/2BA Logan Square Condo,condominium (condo) in Logan Square,4.97,155 ,2,1,1,2,$166,0
2BR/1Bath in trendy Ukrainian Village/Wicker Park,rental unit in Ukrainian Village,4.90,176 ,5,2,3,1,$123,81
Spacious Kitschy Logan Square Retreat,rental unit in Logan Square,4.77,105 ,4,2,2,1,$118,13
The Avers - Modern 2BR condo in Northside Chicago,condominium (condo) in Albany Park,,,4,2,2,1,$139,0
Stunning Chicago Loft Near Wrigley Field,rental unit in Lakeview,4.73,378 ,2,1,1,1,$129,6
Modern South Loop pad. Super convenient location!,rental unit in South Loop/Printers Row,4.83,41 ,2,1,1,1,$130,106
"Sunny, quiet and clean condo in Roscoe Village",condominium (condo) in Roscoe Village,4.74,72 ,6,2,3,1,$90,0
Superb Apartment @TheLoop steps to MilleniumPark✭,rental unit in Loop,4.95,115 ,3,S,1,1,$200,51
Lovely Andersonville Apt with Ideal Location,rental unit in Uptown,4.81,257 ,4,1,2,1,$109,6
Spacious 2 bedroom with large outdoor patio,condominium (condo) in North Center,4.83,12 ,5,2,3,1,$125,1
Charming Lincoln Square Apartment Location,rental unit in Lincoln Square,4.86,14 ,4,1,1,1,$84,11
Charming Bucktown 1BD,condominium (condo) in Bucktown,4.90,305 ,2,1,1,1,$125,83
"Private Deck, 1 Min to Shop & Highway, Queen Beds!",rental unit in Albany Park,4.92,13 ,4,2,2,1,$99,75
Vintage Ukrainian Village Apartment,rental unit in Ukrainian Village,4.85,53 ,4,2,2,1,$100,34
Luxury furnished studio in Lincoln Park 3,rental unit in Lincoln Park,4.86,191 ,2,S,1,1,$68,23
Eclectic and Colorful Retro Apartment near Logan Square,rental unit in Avondale,4.95,271 ,6,2,3,1,$98,12
The Avondale Guesthouse,residential home in Avondale,4.84,159 ,6,3,3,1,$89,24
The Oakley 2-Modern Penthouse 12min to Dwtn.1 park,rental unit in Near West Side,4.78,357 ,6,3,3,2,$200,6
Hip Logan Square SPACIOUS & CLEAN 2 Bed Apt!,rental unit in Logan Square,4.64,83 ,7,2,3,1,$125,2
"Explore the City from an Elegant, Urban Retreat",rental unit in West Town/Noble Square,4.89,254 ,4,1,2,1,$144,3
"Sunny, quiet and clean condo in Roscoe Village",condominium (condo) in Roscoe Village,4.74,72 ,6,2,3,1,$90,0
Cozy and Stylish Studio with Free Parking in Irving Park,rental unit in Irving Park,4.91,387 ,2,1,1,1,$120,3
Modern Chicago Bungalow Guest Suite with Parking,guest suite in Avondale,4.95,19 ,2,1,1,1,$110,12
3 bdr Apt-Avondale-Parking and workspace included,rental unit in Avondale,5.0,6 ,6,3,3,1,$169,24
"Clean, spacious, walk to Wrigley! Self check-in!",rental unit in Lakeview,4.91,54 ,6,3,3,1,$113,15
Chic Downtown Condo - Heart of River North!,condominium (condo) in Near North Side,4.91,78 ,6,2,2,2,$271,35
Logan Square Historic Getaway,rental unit in Logan Square,4.96,24 ,4,1,1,1,$96,17
Spacious and Welcoming Ravenswood Garden Unit,rental unit in North Center,4.89,134 ,4,1,1,1,$105,95
WELCOME | Urban Chic Meets Comfy Cozy,rental unit in Lincoln Square,4.95,100 ,6,2,3,1,$100,95
Spacious 2 bedroom/2 bathroom apartment w/ parking,rental unit in Bucktown,4.42,12 ,4,2,2,2,$159,75
A Vintage Pink House in the Heart of Chicago,rental unit in Ukrainian Village,4.94,193 ,3,2,2,1,$159,0
Private 3rd Floor Apartment,residential home in Uptown,4.88,256 ,4,2,2,1,$125,13
Stylish Studio in Historic Logan Square,guest suite in Logan Square,4.95,106 ,2,1,1,1,$125,75
"Belmont House, Classy & Chic/walk to Wrigley Fld",rental unit in Lakeview,4.88,81 ,6,2,3,1,$129,14
Wicker Park/Bucktown Location,rental unit in Wicker Park,4.93,113 ,3,2,2,1,$100,79
My Little Cozy Heaven,rental unit in Humboldt Park,4.74,54 ,4,2,2,1,$131,3
Logan Square/Avondale Chic Retreat W/Peloton Bike,rental unit in Avondale,5.0,80 ,4,2,3,1,$141,2
"Private Deck, 1 Min to Shop & Highway, Queen Beds!",rental unit in Albany Park,4.92,13 ,4,2,2,1,$99,75
"Convenient local, private apt. on the Northside!",rental unit in Logan Square,4.82,72 ,4,1,1,1,$102,75
Logan Square 2nd Floor Chicago Victorian,rental unit in Logan Square,4.97,150 ,4,2,2,1,$103,19
West Town Nook,condominium (condo) in Ukrainian Village,4.57,126 ,6,2,2,1,$83,43
Bucktown Private GEM - a 3BR Modern Oasis,condominium (condo) in Bucktown,4.66,127 ,1,3,3,2,$164,8
A beautiful new cozy 1bed Chicago Garden flat/unit,rental unit in Logan Square,4.68,91 ,3,1,2,1,$127,0
Cozy and Stylish Studio with Free Parking in Irving Park,rental unit in Irving Park,4.91,387 ,2,1,1,1,$120,3
"Sunny, quiet and clean condo in Roscoe Village",condominium (condo) in Roscoe Village,4.74,72 ,6,2,3,1,$90,0
Nice studio near lake w/king bed,rental unit in Lakeview,4.61,38 ,3,S,2,1,$83,0
Heart of Logan Sq - Cozy 2-bdr a block from the L.,residential home in Logan Square,4.80,41 ,6,2,2,1,$143,31
WELCOME | Urban Chic Meets Comfy Cozy,rental unit in Lincoln Square,4.95,100 ,6,2,3,1,$100,95
"Convenient local, private apt. on the Northside!",rental unit in Logan Square,4.82,72 ,4,1,1,1,$102,75
Private 3rd Floor Apartment,residential home in Uptown,4.88,256 ,4,2,2,1,$125,13
Spacious and Welcoming Ravenswood Garden Unit,rental unit in North Center,4.89,134 ,4,1,1,1,$105,95
"A Stylish, sundrenched Chicago Ravenswood Flat",rental unit in Lakeview,4.99,75 ,6,3,4,1,$175,2
Humboldt Park Loft,rental unit in Humboldt Park,4.97,37 ,2,1,1,1,$124,75
Hip Chicago Apartment - FREE Parking Spot Included,rental unit in Logan Square,4.87,543 ,4,2,2,1,$180,1
Logan Square 2nd Floor Chicago Victorian,rental unit in Logan Square,4.97,150 ,4,2,2,1,$103,19
Urban Farm Fun 2!,rental unit in Garfield Park,4.65,225 ,8,2,2,1,$86,9
"Conveniently located, cozy 2 bedroom garden unit.",guest suite in Humboldt Park,4.74,21 ,6,2,3,1,$127,20
On the Boulevard in Logan Square,rental unit in Logan Square,4.96,102 ,6,2,4,1,$95,41
Bali-Inspired Bohemian Loft In Heart of Pilsen,loft in Pilsen,4.95,39 ,4,S,2,1,$94,1
Chicago Is For Food Lovers! ★ Deluxe 1B Uptown Apt,rental unit in Uptown,4.92,12 ,4,1,2,1,$202,83
3 Bdrm - Modern Vibe in a Classic Chicago Two-flat,rental unit in Irving Park,4.91,45 ,4,3,3,1,$154,10
Lincoln Park Avant Artist's Private 1891 Apartment,guest suite in Lincoln Park,4.98,209 ,3,1,1,1,$149,1
Bucktown Abode,guest suite in Bucktown,4.98,86 ,2,1,1,1,$121,33
Spacious 1BR apartment in a central location,rental unit in Irving Park,4.96,185 ,3,1,1,1,$80,15
Entire place near United Center with free parking!,guesthouse in Near West Side,4.61,54 ,2,S,1,1,$99,76
West Town Nook,condominium (condo) in Ukrainian Village,4.57,126 ,6,2,2,1,$83,43
Cozy Lakeview Apt-Walk to Wrigley & Free Parking!,rental unit in Lakeview,4.86,7 ,4,1,1,1,$138,76
Cozy Garden-Subterranean Apartment,rental unit in Lincoln Square,4.73,202 ,2,1,1,1,$85,28
"Bright, Charming Loft in Andersonville",guesthouse in Uptown,4.92,212 ,2,S,1,1,$135,7
West Town Nook,condominium (condo) in Ukrainian Village,4.57,126 ,6,2,2,1,$83,43
Convenient Modern 2b-Close to Train•Food•Parking!!,rental unit in Pilsen,4.94,149 ,5,2,2,1,$110,60
Walk to Lake Michigan From a Contemporary Uptown Haven,rental unit in Uptown,4.87,343 ,2,1,1,1,$120,2
North Side Pied-à-terre,rental unit in Roscoe Village,4.78,137 ,4,2,2,1,$131,15
My Little Cozy Heaven,rental unit in Humboldt Park,4.74,54 ,4,2,2,1,$131,3
Andersonville cozy 1 bedroom basement suite,rental unit in Andersonville,4.99,150 ,2,1,1,1,$109,18
Wrigley Walkable Townhouse+Attached Garage!!,townhouse in Lakeview,,,8,2,5,2,$156,9
Bucktown Private GEM - a 3BR Modern Oasis,condominium (condo) in Bucktown,4.66,127 ,1,3,3,2,$164,8
"Modern & Cozy | Near Humboldt Park, ♛King Bed, Pkg",rental unit in Humboldt Park,4.49,41 ,4,2,3,2,$74,0
Lincoln Park Avant Artist's Private 1891 Apartment,guest suite in Lincoln Park,4.98,209 ,3,1,1,1,$149,1
Chicago Is For Food Lovers! ★ Deluxe 1B Uptown Apt,rental unit in Uptown,4.92,12 ,4,1,2,1,$202,83
Windy City Studio - No Cleaning Fee,rental unit in Logan Square,4.90,153 ,2,S,1,1,$120,75
Stunning Chicago Loft Near Wrigley Field,rental unit in Lakeview,4.73,378 ,2,1,1,1,$129,6
Modern Condo. Near Downtown. Free Garage Parking.,condominium (condo) in South Loop/Printers Row,4.94,17 ,4,1,2,1,$170,79
"Belmont House, Classy & Chic/walk to Wrigley Fld",rental unit in Lakeview,4.88,81 ,6,2,3,1,$129,14
Industrial Style Chicago Loft with FREE parking,loft in Irving Park,4.88,544 ,2,1,1,1,$160,3
Modern 1BR/2BA Logan Square Condo,condominium (condo) in Logan Square,4.97,155 ,2,1,1,2,$166,0
Comfort zone,rental unit in North Center,4.84,99 ,4,2,2,1,$111,3
Heart of Logan Sq - Cozy 2-bdr a block from the L.,residential home in Logan Square,4.80,41 ,6,2,2,1,$143,31
Walk to Lake Michigan From a Contemporary Uptown Haven,rental unit in Uptown,4.87,343 ,2,1,1,1,$120,2
Cozy Andersonville Cabin,guest suite in Andersonville,5.0,52 ,4,1,2,1,$98,87
Windy City Studio - No Cleaning Fee,rental unit in Logan Square,4.90,153 ,2,S,1,1,$120,75
101 Mid-Century Rustic Studio,rental unit in North Lawndale,4.80,20 ,4,S,2,1,$85,79
North Side Pied-à-terre,rental unit in Roscoe Village,4.78,137 ,4,2,2,1,$131,15
🔝 Sweet adorable apt amazing location free parking,rental unit in West Town/Noble Square,4.90,10 ,6,3,3,1,$132,2
Andersonville cozy 1 bedroom basement suite,rental unit in Andersonville,4.99,150 ,2,1,1,1,$109,18
"Bright, Charming Loft in Andersonville",guesthouse in Uptown,4.92,212 ,2,S,1,1,$135,7
"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",guest suite in Bucktown,4.84,150 ,2,1,1,1,$110,75
Nonna's house,rental unit in Portage Park,4.75,106 ,5,2,2,1,$79,107
Bucktown Abode,guest suite in Bucktown,4.98,86 ,2,1,1,1,$121,33
Cozy nook 2 blocks from train & metra,rental unit in Garfield Park,4.96,25 ,6,2,2,1,$121,3
Cozy 2BD/1BA in Charming Logan Square,rental unit in Logan Square,4.67,76 ,5,2,3,1,$120,18
Garfield Manor,rental unit in Garfield Park,4.86,42 ,8,3,5,1,$100,19
West Town Nook,condominium (condo) in Ukrainian Village,4.57,126 ,6,2,2,1,$83,43
Historic huge 3 Bdrm Apt w/Parking & Private Porch,rental unit in Uptown,4.97,70 ,6,3,4,1,$124,6
Comfort zone,rental unit in North Center,4.84,99 ,4,2,2,1,$111,3
Chicago Is For Food Lovers! ★ Deluxe 1B Uptown Apt,rental unit in Uptown,4.92,12 ,4,1,2,1,$202,83
2BR Garden Unit in Workers Cottage; Steps from CTA,rental unit in Little Village,4.89,54 ,6,2,4,1,$79,5
"Bright, Clean, and Spacious 3 BR Logan Square Apt",rental unit in Logan Square,4.94,47 ,6,3,3,1,$120,17
Wrigleyville Garden Studio,residential home in Lakeview,4.97,111 ,2,1,1,1,$150,16
"Bright, Charming Loft in Andersonville",guesthouse in Uptown,4.92,212 ,2,S,1,1,$135,7
Lincoln Park Avant Artist's Private 1891 Apartment,guest suite in Lincoln Park,4.98,209 ,3,1,1,1,$149,1
Walk to Lake Michigan From a Contemporary Uptown Haven,rental unit in Uptown,4.87,343 ,2,1,1,1,$120,2
Private suite in Lincoln Square,guest suite in Lincoln Square,4.96,246 ,4,1,1,1,$85,27
Ravenswood Guest House Annex,rental unit in Edgewater,4.92,283 ,4,1,3,1,$98,8
Bucktown's Best Bang for the Buck,rental unit in Bucktown,4.73,105 ,5,2,2,1,$138,0
A Vintage Pink House in the Heart of Chicago,rental unit in Ukrainian Village,4.94,193 ,3,2,2,1,$159,0
Chicago’s Dickens Place a trendy centralized flat,townhouse in Logan Square,4.66,104 ,8,2,3,1,$127,0
"Belmont House, Classy & Chic/walk to Wrigley Fld",rental unit in Lakeview,4.88,81 ,6,2,3,1,$129,14
Spacious 2 bedroom/2 bathroom apartment w/ parking,rental unit in Bucktown,4.42,12 ,4,2,2,2,$159,75
Hugh's Haven...Albany Park Spacious 2 bedroom,condominium (condo) in Albany Park,5.0,9 ,4,2,2,1,$97,5
"Cozy, Quiet, Garden Getaway!",guest suite in North Center,4.90,311 ,2,1,1,1,$100,9
The 6 corner Gem,rental unit in Logan Square,4.92,49 ,3,S,1,1,$98,2
"Cozy,bright,quiet entire 2 bedroom remodeled apt.",rental unit in Portage Park,4.58,122 ,7,2,5,1,$72,14
"Fun & Luxury Loft, Close to Attractions",loft in South Loop/Printers Row,4.73,11 ,4,1,2,1,$130,86
ITALIAN garden apt/kids friendly/great location!!,rental unit in Irving Park,4.74,221 ,5,1,4,1,$90,0
Angie’s Nest,rental unit in Humboldt Park,4.89,61 ,6,3,3,1,$150,9
Spacious & Modern Family Friendly North Center Apt,condominium (condo) in North Center,4.84,45 ,6,2,3,1,$115,10
Entire Apartment - Logan Square Two Bedroom,rental unit in Logan Square,5.0,5 ,4,2,2,1,$150,3
Great location and fully furnished 1 Bedroom Apt!,rental unit in Lincoln Park,4.55,11 ,3,1,1,1,$99,106
Hip Chicago Apartment - FREE Parking Spot Included,rental unit in Logan Square,4.87,543 ,4,2,2,1,$180,1
An elegant Chicago Northside Getaway,rental unit in Lakeview,5.0,71 ,6,3,4,1,$175,10
2bdr apartment +free parking near train in Chicago,rental unit in Little Village,4.89,104 ,1,2,2,1,$76,0
Lovely 1BR Apt Steps from Wrigley!,rental unit in Wrigleyville,4.94,104 ,4,1,2,1,$150,0
"Ravenswood, Sleeps 4! Close to CTA, Metra, & Parks",rental unit in Uptown,4.98,40 ,4,2,3,1,$200,73
Ravenswood Guest House Annex,rental unit in Edgewater,4.92,283 ,4,1,3,1,$98,8
"The Noble Farmhouse, Sunlit with Private Garden in West Town",rental unit in West Town/Noble Square,4.97,115 ,3,2,2,1,$171,2
2 Bedroom city apartment in the heart of Pilsen,rental unit in Pilsen,4.71,96 ,6,2,2,1,$80,28
Pelotoning while Airbnb'ing in Chicago!,rental unit in Logan Square,4.94,35 ,4,2,2,1,$150,0
Charming 2 BR Garden Unit across from Park!,rental unit in Bucktown,4.93,15 ,4,2,2,1,$137,0
Sunny Character-Filled Apartment in Trendy Ukrainian Village,residential home in Humboldt Park,4.84,50 ,3,1,2,1,$119,98
Heart of Chicago 2BD + Parking,rental unit in Pilsen,4.79,137 ,5,2,3,1,$84,0
"A Stylish, sundrenched Chicago Ravenswood Flat",rental unit in Lakeview,4.99,75 ,6,3,4,1,$175,2
Behind the Beaten Path,rental unit in Humboldt Park,4.41,112 ,6,2,2,1,$88,0
In artistic Pilsen~Continental Breakfast~Near DWTN,rental unit in Pilsen,4.83,145 ,5,2,3,1,$95,9
"LOGAN SQUARE: Cozy, Mod Chic, 1st Floor 2 BD APT!",residential home in Avondale,4.97,73 ,6,2,4,1,$155,2
Industrial Style Chicago Loft with FREE parking,loft in Irving Park,4.88,544 ,2,1,1,1,$160,3
Cozy Bungalow Getaway,rental unit in Albany Park,4.98,58 ,2,1,1,1,$90,17
